	Cs-137	Cs-137-Al
842.659955	143	141
843.856025862	151	141
845.052646848	142	158
846.249817958	153	172
847.447539192	143	144
848.64581055	170	140
849.844632032	148	137
851.044003638	140	141
852.243925368	141	134
853.444397222	137	136
854.6454192	144	137
855.846991302	157	148
857.049113528	146	141
858.251785878	141	135
859.455008352	136	136
860.65878095	145	149
861.863103672	145	145
863.067976518	132	140
864.273399488	162	152
865.479372582	151	153
866.6858958	131	156
867.892969142	137	140
869.100592608	140	169
870.308766198	165	151
871.517489912	152	151
872.72676375	156	143
873.936587712	130	144
875.146961798	173	166
876.357886008	138	141
877.569360342	164	153
878.7813848	133	142
879.993959382	152	150
881.207084088	139	165
882.420758918	161	140
883.634983872	143	158
884.84975895	151	150
886.065084152	133	161
887.280959478	159	151
888.497384928	144	193
889.714360502	160	155
890.9318862	146	152
892.149962022	161	132
893.368587968	142	144
894.587764038	147	143
895.807490232	146	163
897.02776655	152	153
898.248592992	145	125
899.469969558	174	170
900.691896248	167	126
901.914373062	121	143
903.1374	146	161
904.360977062	164	158
905.585104248	170	137
906.809781558	149	140
908.035008992	148	142
909.26078655	145	143
910.487114232	149	152
911.713992038	156	154
912.941419968	134	155
914.169398022	156	137
915.3979262	159	141
916.627004502	157	157
917.856632928	162	142
919.086811478	142	141
920.317540152	132	148
921.54881895	149	154
922.780647872	132	145
924.013026918	131	163
925.245956088	142	148
926.479435382	168	156
927.7134648	137	136
928.948044342	142	143
930.183174008	159	151
931.418853798	165	153
932.655083712	151	147
933.89186375	133	147
935.129193912	138	162
936.367074198	117	164
937.605504608	141	123
938.844485142	167	134
940.0840158	135	143
941.324096582	154	140
942.564727488	147	149
943.805908518	148	149
945.047639672	157	145
946.28992095	120	139
947.532752352	139	137
948.776133878	141	155
950.020065528	148	135
951.264547302	133	129
952.5095792	130	160
953.755161222	130	126
955.001293368	112	137
956.247975638	119	145
957.495208032	120	128
958.74299055	140	117
959.991323192	149	134
961.240205958	130	121
962.489638848	137	153
963.739621862	136	131
964.990155	151	134
966.241238262	128	129
967.492871648	149	139
968.745055158	135	132
969.997788792	133	134
971.25107255	127	111
972.504906432	158	126
973.759290438	120	130
975.014224568	136	116
976.269708822	135	164
977.5257432	117	120
978.782327702	134	127
980.039462328	128	151
981.297147078	124	124
982.555381952	130	139
983.81416695	124	112
985.073502072	124	142
986.333387318	125	122
987.593822688	115	110
988.854808182	91	123
990.1163438	110	147
991.378429542	125	114
992.641065408	106	111
993.904251398	96	121
995.167987512	117	125
996.43227375	114	131
997.697110112	108	108
998.962496598	117	106
1000.228433208	113	119
